Supplier	Supplier Part	Manufacturer	Manufacturer Part	Value	Footprint	Designator	Comment	Quantity	No.
LCSC	C53084452	TORCH(火炬)	CC1210X7R50V106KN	10uF	C1210	C1	10uF	1	1
LCSC	C14663	YAGEO(国巨)	CC0603KRX7R9BB104	100nF	C0603	C3,C6,C7,C8,C10	100nF	5	2
LCSC	C15850	SAMSUNG(三星)	CL21A106KAYNNNE	10uF	C0805	C4,C5,C9	10uF	3	3
LCSC	C15849	SAMSUNG(三星)	CL10A105KB8NNNC	1uF	C0603	C11	1uF	1	4
LCSC	C53084516	TORCH(火炬)	CC0603X7R50V102KN	1nF	C0603	C12	1nF	1	5
LCSC	C16015	MDD(辰达半导体)	SS36		SMA_L4.3-W2.6-LS5.2-RD	D1	SS36	1	6
LCSC	C10212	RUILON(瑞隆源)	SMBJ18A		SMB_L4.6-W3.6-LS5.3-RD	D2	SMBJ18A	1	7
LCSC	C124378	Ckmtw(灿科盟)	B-2100S04P-A110		HDR-TH_4P-P2.54-V-M	J1,J2	B-2100S04P-A110	2	8
LCSC	C124379	Ckmtw(灿科盟)	B-2100S05P-A110		HDR-TH_5P-P2.54-V-M	J3	B-2100S05P-A110	1	9
LCSC	C60117	Sunlord(顺络)	SWPA4018S4R7MT	4.7uH	IND-SMD_L4.0-W4.0	L1	4.7uH	1	10
LCSC	C22984	UNI-ROYAL(厚声)	0603WAF3002T5E	30kΩ	R0603	R1	30kΩ	1	11
LCSC	C25804	UNI-ROYAL(厚声)	0603WAF1002T5E	10kΩ	R0603	R2,R5,R6	10kΩ	3	12
LCSC	C23162	UNI-ROYAL(厚声)	0603WAF4701T5E	4.7kΩ	R0603	R3,R4	4.7kΩ	2	13
LCSC	C23193	UNI-ROYAL(厚声)	0603WAF5100T5E	510Ω	R0603	R7	510Ω	1	14
LCSC	C25803	UNI-ROYAL(厚声)	0603WAF1003T5E	100kΩ	R0603	R8	100kΩ	1	15
LCSC	C780769	DIODES(美台)	AP63203WU-7		TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL	U1	AP63203WU-7	1	16
LCSC	C2913202	ESPRESSIF(乐鑫)	ESP32-S3-WROOM-1-N16R8	2.4GHz	WIRELM-SMD_ESP32-S3-WROOM-1	U2	2.4GHz	1	17
LCSC	C153038	ST(意法半导体)	E-L9637D013TR		SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL	U3	E-L9637D013TR	1	18
