Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Value	Type	Supplier	Datasheet
"J1"	"B-2100S04P-A110"	"HDR-TH_4P-P2.54-V-M"	"6.35mm"	"7.62mm"	"6.35mm"	"7.62mm"	"2.54mm"	"7.62mm"	"4"	"T"	"0"	"No"	"B-2100S04P-A110"	""	""	"LCSC"	"https://item.szlcsc.com/datasheet/B-2100S04P-A110/125653.html"
"D1"	"SS36_C16015"	"SMA_L4.3-W2.6-LS5.2-RD"	"9.246mm"	"37.109mm"	"9.246mm"	"37.109mm"	"7.046mm"	"37.109mm"	"2"	"T"	"0"	"Yes"	"SS36"	""	""	"LCSC"	"https://item.szlcsc.com/datasheet/SS36/16697.html"
"D2"	"SMBJ18A_C10212"	"SMB_L4.6-W3.6-LS5.3-RD"	"15.037mm"	"35.23mm"	"15.037mm"	"35.23mm"	"15.037mm"	"32.87mm"	"2"	"T"	"90"	"Yes"	"SMBJ18A"	""	"TVS"	"LCSC"	"https://item.szlcsc.com/datasheet/SMBJ18A/10752.html"
"C1"	"CC1210X7R50V106KN"	"C1210"	"6.629mm"	"28.981mm"	"6.629mm"	"28.981mm"	"6.629mm"	"27.465mm"	"2"	"T"	"90"	"Yes"	"10uF"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC1210X7R50V106KN/56048917.html"
"C3"	"CC0603KRX7R9BB104"	"C0603"	"9.754mm"	"28.981mm"	"9.754mm"	"28.981mm"	"9.754mm"	"28.28mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"R8"	"0603WAF1003T5E"	"R0603"	"9.779mm"	"24.917mm"	"9.779mm"	"24.917mm"	"9.025mm"	"24.917mm"	"2"	"T"	"0"	"Yes"	"100kΩ"	"100kΩ"	"Thick Film Resistor"	"LCSC"	"https://item.szlcsc.com/datasheet/0603WAF1003T5E/26546.html"
"L1"	"SWPA4018S4R7MT"	"IND-SMD_L4.0-W4.0"	"13.614mm"	"28.981mm"	"13.614mm"	"28.981mm"	"12.014mm"	"28.981mm"	"2"	"T"	"0"	"Yes"	"4.7uH"	"4.7uH"	"-"	"LCSC"	"https://item.szlcsc.com/datasheet/SWPA4018S4R7MT/61169.html"
"C6"	"CC0603KRX7R9BB104"	"C0603"	"2.743mm"	"32.766mm"	"2.743mm"	"32.766mm"	"2.042mm"	"32.766mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html"
"C4"	"CL21A106KAYNNNE_C15850"	"C0805"	"17.628mm"	"28.981mm"	"17.628mm"	"28.981mm"	"17.628mm"	"27.981mm"	"2"	"T"	"90"	"Yes"	"10uF"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL21A106KAYNNNE/16532.html"
"C5"	"CL21A106KAYNNNE_C15850"	"C0805"	"20.244mm"	"28.981mm"	"20.244mm"	"28.981mm"	"20.244mm"	"27.981mm"	"2"	"T"	"90"	"Yes"	"10uF"	"10uF"	""	"LCSC"	"https://item.szlcsc.com/datasheet/CL21A106KAYNNNE/16532.html"
