Comment,Designator,Footprint,LCSC Part #
10uF,C1,C1210,C53084452
47uF,C2,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,C970679
100nF,"C3,C6,C7,C8,C10",C0603,C14663
10uF,"C4,C5,C9",C0805,C15850
1uF,C11,C0603,C15849
1nF,C12,C0603,C53084516
SS36,D1,SMA_L4.3-W2.6-LS5.2-RD,C16015
SMBJ18A,D2,SMB_L4.6-W3.6-LS5.3-RD,C10212
4.7uH,L1,IND-SMD_L4.0-W4.0,C60117
4.7kΩ,"R3,R4",R0603,C23162
10kΩ,"R5,R6",R0603,C25804
510Ω,R7,R0603,C23193
100kΩ,R8,R0603,C25803
AP63203WU-7,U1,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,C780769
2.4GHz,U2,WIRELM-SMD_ESP32-S3-WROOM-1,C2913202
E-L9637D013TR,U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C153038
