t_sec,iso_time,0C_rpm,0B_map,11_tps,45_tps_rel,04_load,0E_adv,14_o2,05_ect,0F_iat,03_fuelsys,06_stft,07_ltft,42_volt,0D_speed,raw
5.098,2026-08-23T14:26:21.114,1451.0,70,10.196,0.0,40.784,,0.035,84,41,,0.0,0.0,14.5,0,0C=16AC;0B=46;11=1A;45=00;04=68;0E=ND;14=0780;05=7C;0F=51;03=ND;06=80;07=80;42=38A4;0D=00
10.318,2026-08-23T14:26:26.334,1386.0,,,0.0,41.569,9.5,0.055,,41,,,0.0,,,0C=15A8;0B=ND;11=ND;45=00;04=6A;0E=93;14=0B80;05=ND;0F=51;03=0400;06=ND;07=80;42=ND;0D=ND
15.419,2026-08-23T14:26:31.435,3879.0,54,10.196,0.0,39.608,9.5,0.725,86,42,,0.0,-15.625,13.8,0,0C=3C9C;0B=36;11=1A;45=00;04=65;0E=93;14=9180;05=7E;0F=52;03=0400;06=80;07=6C;42=35E8;0D=00
20.758,2026-08-23T14:26:36.775,4105.0,76,10.196,0.0,38.431,9.5,0.055,86,42,,-0.781,-15.625,15.5,0,0C=4024;0B=4C;11=1A;45=00;04=62;0E=93;14=0B80;05=7E;0F=52;03=0400;06=7F;07=6C;42=3C8C;0D=00
25.919,2026-08-23T14:26:41.935,5378.0,95,14.118,0.0,12.549,34.5,0.705,87,41,,0.0,0.0,13.8,0,0C=5408;0B=5F;11=24;45=00;04=20;0E=C5;14=8D80;05=7F;0F=51;03=0200;06=80;07=80;42=35E8;0D=00
31.05,2026-08-23T14:26:47.066,1507.0,75,10.196,0.0,40.392,9.5,0.035,87,41,,0.0,0.0,14.7,0,0C=178C;0B=4B;11=1A;45=00;04=67;0E=93;14=0780;05=7F;0F=51;03=0400;06=80;07=80;42=396C;0D=00
36.269,2026-08-23T14:26:52.286,1409.0,79,,0.0,40.784,9.5,,88,42,,0.0,,13.9,0,0C=1604;0B=4F;11=ND;45=00;04=68;0E=93;14=ND;05=80;0F=52;03=0400;06=80;07=ND;42=364C;0D=00
41.43,2026-08-23T14:26:57.446,5199.0,23,10.196,0.0,31.373,9.5,0.035,88,42,,0.0,0.0,13.9,0,0C=513C;0B=17;11=1A;45=00;04=50;0E=93;14=0780;05=80;0F=52;03=0400;06=80;07=80;42=364C;0D=00
46.59,2026-08-23T14:27:02.606,1413.0,69,10.196,0.0,40.392,9.5,0.055,,42,,0.0,,13.8,0,0C=1614;0B=45;11=1A;45=00;04=67;0E=93;14=0B80;05=ND;0F=52;03=ND;06=80;07=ND;42=35E8;0D=00
51.75,2026-08-23T14:27:07.766,,,10.196,0.0,40.784,9.5,,90,42,,,0.0,,0,0C=ND;0B=ND;11=1A;45=00;04=68;0E=93;14=ND;05=82;0F=52;03=0400;06=ND;07=80;42=ND;0D=00
56.911,2026-08-23T14:27:12.927,,67,10.196,,41.176,9.5,,90,,,0.0,0.0,14.7,0,0C=ND;0B=43;11=1A;45=ND;04=69;0E=93;14=ND;05=82;0F=ND;03=0400;06=80;07=80;42=396C;0D=00
61.95,2026-08-23T14:27:17.967,1387.0,51,10.196,0.0,40.784,9.5,0.055,91,42,,0.0,0.0,13.4,0,0C=15AC;0B=33;11=1A;45=00;04=68;0E=93;14=0B80;05=83;0F=52;03=0400;06=80;07=80;42=3458;0D=00
67.11,2026-08-23T14:27:23.127,1420.0,83,10.196,0.0,41.176,9.5,0.76,91,42,,0.0,0.0,14.2,0,0C=1630;0B=53;11=1A;45=00;04=69;0E=93;14=9880;05=83;0F=52;03=0400;06=80;07=80;42=3778;0D=00
72.181,2026-08-23T14:27:28.197,1427.0,77,10.196,0.0,41.176,9.5,0.075,91,42,,0.0,0.0,14.2,0,0C=164C;0B=4D;11=1A;45=00;04=69;0E=93;14=0F80;05=83;0F=52;03=0400;06=80;07=80;42=3778;0D=00
77.28,2026-08-23T14:27:33.297,1442.0,60,10.196,0.0,41.176,9.5,0.095,92,42,,0.0,0.0,13.8,0,0C=1688;0B=3C;11=1A;45=00;04=69;0E=93;14=1380;05=84;0F=52;03=0400;06=80;07=80;42=35E8;0D=00
82.47,2026-08-23T14:27:38.487,1416.0,55,10.196,0.0,40.784,9.5,0.055,92,42,,0.0,,,,0C=1620;0B=37;11=1A;45=00;04=68;0E=93;14=0B80;05=84;0F=52;03=0400;06=80;07=ND;42=ND;0D=ND
87.6,2026-08-23T14:27:43.617,1425.0,,10.196,0.0,40.392,9.5,,92,42,,0.0,0.0,14.4,0,0C=1644;0B=ND;11=1A;45=00;04=67;0E=93;14=ND;05=84;0F=52;03=0400;06=80;07=80;42=3840;0D=00
92.821,2026-08-23T14:27:48.838,,76,10.196,,,9.5,,,42,,0.0,0.0,14.1,,0C=ND;0B=4C;11=1A;45=ND;04=ND;0E=93;14=ND;05=ND;0F=52;03=0400;06=80;07=80;42=3714;0D=ND
97.861,2026-08-23T14:27:53.878,,74,,0.0,40.784,9.5,0.075,94,42,,0.0,0.0,13.2,0,0C=ND;0B=4A;11=ND;45=00;04=68;0E=93;14=0F80;05=86;0F=52;03=0400;06=80;07=80;42=3390;0D=00
