t_sec,iso_time,0C_rpm,11_tps,0B_map,0E_adv,14_o2,04_load,05_ect,0F_iat,03_fuelsys,06_stft,07_ltft,42_volt,0D_speed,45_tps_rel,raw
0.778,2026-08-23T14:30:35.350,1412.0,10.196,50,9.5,,,,,,,,,,,0C=1610;11=1A;0B=32;0E=93
1.558,2026-08-23T14:30:36.130,1438.0,10.196,83,,0.8,,,,,,,,,,0C=1678;11=1A;0B=53;14=A080
2.308,2026-08-23T14:30:36.880,1404.0,10.196,53,,,40.784,,,,,,,,,0C=15F0;11=1A;0B=35;04=68
3.088,2026-08-23T14:30:37.661,1409.0,9.804,80,,,,100,,,,,,,,0C=1604;11=19;0B=50;05=8C
3.839,2026-08-23T14:30:38.411,1402.0,10.196,59,,,,,43,,,,,,,0C=15E8;11=1A;0B=3B;0F=53
4.679,2026-08-23T14:30:39.251,1404.0,10.196,92,,,,,,0400,,,,,,0C=15F0;11=1A;0B=5C;03=0400
5.459,2026-08-23T14:30:40.031,1346.0,10.196,76,,,,,,,0.0,,,,,0C=1508;11=1A;0B=4C;06=80
6.208,2026-08-23T14:30:40.781,1420.0,10.196,39,,,,,,,,0.0,,,,0C=1630;11=1A;0B=27;07=80
6.96,2026-08-23T14:30:41.532,1413.0,10.196,88,,,,,,,,,13.8,,,0C=1614;11=1A;0B=58;42=35E8
7.799,2026-08-23T14:30:42.371,1390.0,,,,,,,,,,,,,,0C=15B8;11=ND;0B=ND;0D=ND
8.519,2026-08-23T14:30:43.091,,,,,,,,,,,,,,,0C=ND;11=ND;0B=ND;45=ND
9.269,2026-08-23T14:30:43.841,,,,,,,,,,,,,,,0C=ND;11=ND;0B=ND;0E=ND
10.048,2026-08-23T14:30:44.621,,,,,,,,,,,,,,,0C=ND;11=ND;0B=ND;14=ND
10.798,2026-08-23T14:30:45.371,,,,,,,,,,,,,,,0C=ND;11=ND;0B=ND;04=ND
11.549,2026-08-23T14:30:46.121,,10.196,43,,,,100,,,,,,,,0C=ND;11=1A;0B=2B;05=8C
12.329,2026-08-23T14:30:46.901,1401.0,9.804,53,,,,,43,,,,,,,0C=15E4;11=19;0B=35;0F=53
13.109,2026-08-23T14:30:47.681,1384.0,10.196,80,,,,,,0400,,,,,,0C=15A0;11=1A;0B=50;03=0400
13.919,2026-08-23T14:30:48.491,1401.0,10.196,69,,,,,,,0.0,,,,,0C=15E4;11=1A;0B=45;06=80
14.669,2026-08-23T14:30:49.242,1387.0,10.196,75,,,,,,,,0.0,,,,0C=15AC;11=1A;0B=4B;07=80
15.418,2026-08-23T14:30:49.991,1405.0,10.196,,,,,,,,,,14.5,,,0C=15F4;11=1A;0B=ND;42=38A4
16.198,2026-08-23T14:30:50.771,1420.0,10.196,,,,,,,,,,,0,,0C=1630;11=1A;0B=ND;0D=00
16.949,2026-08-23T14:30:51.521,,10.196,41,,,,,,,,,,,0.0,0C=ND;11=1A;0B=29;45=00
17.7,2026-08-23T14:30:52.272,1430.0,10.196,92,9.5,,,,,,,,,,,0C=1658;11=1A;0B=5C;0E=93
18.419,2026-08-23T14:30:52.991,1394.0,10.196,40,,0.78,,,,,,,,,,0C=15C8;11=1A;0B=28;14=9C80
19.199,2026-08-23T14:30:53.771,1430.0,10.196,45,,,40.392,,,,,,,,,0C=1658;11=1A;0B=2D;04=67
19.919,2026-08-23T14:30:54.491,1400.0,10.196,73,,,,101,,,,,,,,0C=15E0;11=1A;0B=49;05=8D
20.669,2026-08-23T14:30:55.242,1391.0,9.804,52,,,,,43,,,,,,,0C=15BC;11=19;0B=34;0F=53
21.45,2026-08-23T14:30:56.022,1407.0,10.196,76,,,,,,0400,,,,,,0C=15FC;11=1A;0B=4C;03=0400
22.199,2026-08-23T14:30:56.772,1418.0,9.804,40,,,,,,,0.0,,,,,0C=1628;11=19;0B=28;06=80
22.95,2026-08-23T14:30:57.522,1357.0,10.196,55,,,,,,,,0.0,,,,0C=1534;11=1A;0B=37;07=80
23.729,2026-08-23T14:30:58.301,1428.0,10.196,42,,,,,,,,,13.9,,,0C=1650;11=1A;0B=2A;42=364C
24.45,2026-08-23T14:30:59.023,1416.0,10.196,73,,,,,,,,,,0,,0C=1620;11=1A;0B=49;0D=00
25.259,2026-08-23T14:30:59.831,1340.0,10.196,87,,,,,,,,,,,0.0,0C=14F0;11=1A;0B=57;45=00
25.979,2026-08-23T14:31:00.551,1417.0,10.196,53,9.5,,,,,,,,,,,0C=1624;11=1A;0B=35;0E=93
26.699,2026-08-23T14:31:01.272,1416.0,10.196,76,,0.82,,,,,,,,,,0C=1620;11=1A;0B=4C;14=A480
27.418,2026-08-23T14:31:01.991,1374.0,9.804,64,,,40.784,,,,,,,,,0C=1578;11=19;0B=40;04=68
28.169,2026-08-23T14:31:02.742,1394.0,10.196,52,,,,99,,,,,,,,0C=15C8;11=1A;0B=34;05=8B
28.919,2026-08-23T14:31:03.492,1397.0,10.196,66,,,,,43,,,,,,,0C=15D4;11=1A;0B=42;0F=53
29.669,2026-08-23T14:31:04.242,1391.0,10.196,39,,,,,,0400,,,,,,0C=15BC;11=1A;0B=27;03=0400
30.419,2026-08-23T14:31:04.992,1409.0,10.196,85,,,,,,,0.0,,,,,0C=1604;11=1A;0B=55;06=80
31.169,2026-08-23T14:31:05.742,1393.0,10.196,77,,,,,,,,0.0,,,,0C=15C4;11=1A;0B=4D;07=80
31.889,2026-08-23T14:31:06.462,1401.0,10.196,38,,,,,,,,,14.9,,,0C=15E4;11=1A;0B=26;42=3A34
32.639,2026-08-23T14:31:07.212,1410.0,10.196,69,,,,,,,,,,0,,0C=1608;11=1A;0B=45;0D=00
33.45,2026-08-23T14:31:08.023,1378.0,10.196,50,,,,,,,,,,,0.0,0C=1588;11=1A;0B=32;45=00
34.23,2026-08-23T14:31:08.802,1420.0,10.196,58,9.5,,,,,,,,,,,0C=1630;11=1A;0B=3A;0E=93
34.949,2026-08-23T14:31:09.522,1408.0,10.196,80,,0.745,,,,,,,,,,0C=1600;11=1A;0B=50;14=9580
35.79,2026-08-23T14:31:10.362,1422.0,10.196,94,,,40.0,,,,,,,,,0C=1638;11=1A;0B=5E;04=66
36.629,2026-08-23T14:31:11.202,1409.0,10.196,84,,,,97,,,,,,,,0C=1604;11=1A;0B=54;05=89
37.44,2026-08-23T14:31:12.012,1406.0,10.196,55,,,,,43,,,,,,,0C=15F8;11=1A;0B=37;0F=53
38.22,2026-08-23T14:31:12.792,1397.0,10.196,41,,,,,,0400,,,,,,0C=15D4;11=1A;0B=29;03=0400
38.998,2026-08-23T14:31:13.571,1412.0,10.196,86,,,,,,,0.0,,,,,0C=1610;11=1A;0B=56;06=80
39.78,2026-08-23T14:31:14.353,1413.0,10.196,73,,,,,,,,0.0,,,,0C=1614;11=1A;0B=49;07=80
40.59,2026-08-23T14:31:15.163,1397.0,10.196,38,,,,,,,,,13.8,,,0C=15D4;11=1A;0B=26;42=35E8
41.339,2026-08-23T14:31:15.912,1402.0,10.196,79,,,,,,,,,,0,,0C=15E8;11=1A;0B=4F;0D=00
42.09,2026-08-23T14:31:16.662,1398.0,9.804,70,,,,,,,,,,,0.0,0C=15D8;11=19;0B=46;45=00
42.81,2026-08-23T14:31:17.383,1352.0,10.196,81,9.5,,,,,,,,,,,0C=1520;11=1A;0B=51;0E=93
43.529,2026-08-23T14:31:18.102,1414.0,10.196,38,,0.78,,,,,,,,,,0C=1618;11=1A;0B=26;14=9C80
44.309,2026-08-23T14:31:18.882,1379.0,10.196,40,,,41.176,,,,,,,,,0C=158C;11=1A;0B=28;04=69
45.089,2026-08-23T14:31:19.662,1408.0,10.196,77,,,,97,,,,,,,,0C=1600;11=1A;0B=4D;05=89
45.839,2026-08-23T14:31:20.412,1403.0,,78,,,,,43,,,,,,,0C=15EC;11=ND;0B=4E;0F=53
46.589,2026-08-23T14:31:21.162,2902.0,10.196,67,,,,,,0400,,,,,,0C=2D58;11=1A;0B=43;03=0400
47.339,2026-08-23T14:31:21.912,1445.0,10.196,88,,,,,,,0.0,,,,,0C=1694;11=1A;0B=58;06=80
48.06,2026-08-23T14:31:22.632,1499.0,9.804,39,,,,,,,,0.0,,,,0C=176C;11=19;0B=27;07=80
