t_sec,iso_time,0C_rpm,03_fuelsys,05_ect,0B_map,04_load,0E_adv,14_o2,0F_iat,06_stft,07_ltft,42_volt,11_tps,0D_speed,raw
0.6,2026-08-30T09:33:11.072,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
1.139,2026-08-30T09:33:11.612,,0100,,98,,,,,,,,,,0C=ND;03=0100;0B=62
1.68,2026-08-30T09:33:12.152,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
2.249,2026-08-30T09:33:12.722,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
2.789,2026-08-30T09:33:13.262,0.0,,,,,,1.275,,,,,,,0C=0000;03=ND;14=FF80
3.329,2026-08-30T09:33:13.802,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
3.899,2026-08-30T09:33:14.372,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
4.469,2026-08-30T09:33:14.942,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
5.039,2026-08-30T09:33:15.512,0.0,0100,,,,,,,,,11.7,,,0C=0000;03=0100;42=2DB4
5.58,2026-08-30T09:33:16.052,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
6.119,2026-08-30T09:33:16.592,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
6.659,2026-08-30T09:33:17.132,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
7.2,2026-08-30T09:33:17.672,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
7.74,2026-08-30T09:33:18.212,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
8.279,2026-08-30T09:33:18.752,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
8.819,2026-08-30T09:33:19.292,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
9.359,2026-08-30T09:33:19.832,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
9.899,2026-08-30T09:33:20.372,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
10.469,2026-08-30T09:33:20.942,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
